epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
0,0.6817740558087826,0.659375,0.6609490966796875,0.6825,0.0003
1,0.6533348557353019,0.683125,0.6721423125267029,0.6275,0.0003
2,0.6492527429759503,0.69625,0.6739803487062455,0.7125,0.0003
3,0.6456643421947956,0.695,0.6462028360366822,0.735,0.0003
4,0.6346150425821543,0.706875,0.6508377283811569,0.67,0.0003
5,0.6355176757276059,0.705,0.680887862443924,0.6675,0.0003
6,0.6290491285920143,0.729375,0.6088534763455391,0.74,0.0003
7,0.6264705502986908,0.74125,0.6766195839643478,0.7,0.0003
8,0.6352949824929237,0.72625,0.6587127202749252,0.7075,0.0003
9,0.6214506313204765,0.738125,0.6056526386737824,0.77,0.0003
10,0.6193645635992289,0.74125,0.6304882574081421,0.7325,0.0003
11,0.6139186333119869,0.7425,0.6089254680275917,0.745,0.0003
12,0.6102671027928591,0.7525,0.6168033054471016,0.7475,0.0003
13,0.6015459140390158,0.75875,0.6076398748159408,0.7625,0.0003
14,0.6041334457695484,0.75375,0.6083538118004799,0.73,0.0003
15,0.6017947211116552,0.753125,0.6140357059240341,0.745,0.00015
16,0.599275564700365,0.7575,0.6028370121121407,0.765,0.00015
17,0.592806493639946,0.765625,0.603234167098999,0.755,0.00015
18,0.5846801740676164,0.775,0.6058199861645699,0.7775,0.00015
19,0.5820123787969351,0.78375,0.644722495675087,0.75,0.00015
20,0.5922600677609444,0.7725,0.5977519133687019,0.7575,0.00015
21,0.5843495041877032,0.76625,0.6154671636223793,0.775,0.00015
22,0.5837660218030214,0.7725,0.6521499130129814,0.7,0.00015
23,0.5835370928049087,0.775625,0.6064177536964417,0.74,0.00015
24,0.579089211449027,0.7825,0.7086856880784035,0.7125,0.00015
25,0.5762473771721125,0.795,0.5957653859257698,0.7875,0.00015
26,0.5754959833621979,0.78625,0.5987715703248978,0.7725,0.00015
27,0.5785336166620254,0.77625,0.608401182293892,0.7625,0.00015
28,0.5701709824800492,0.79375,0.7372581061720848,0.7025,0.00015
29,0.569937931522727,0.78,0.5984711468219757,0.7925,0.00015
30,0.5720670586824417,0.79,0.6200580817461013,0.7725,0.00015
31,0.5762943376600742,0.780625,0.6019442003965377,0.7725,7.5e-05
32,0.5640620539337396,0.80125,0.6286181652545929,0.7675,7.5e-05
33,0.5612727035582066,0.80875,0.6055529677867889,0.7875,7.5e-05
34,0.5550256337970495,0.813125,0.633029375076294,0.7475,7.5e-05
35,0.5566750232130289,0.80625,0.6090057170391083,0.76,7.5e-05
36,0.5521497165411711,0.79125,0.6085423189401626,0.7875,7.5e-05
37,0.5555079742521047,0.798125,0.6128081944584847,0.7725,3.75e-05
38,0.5468570913374424,0.808125,0.5984398838877678,0.785,3.75e-05
39,0.5413528107106685,0.821875,0.6173388302326203,0.7875,3.75e-05
40,0.5418765841424465,0.825,0.6277288639545441,0.7825,3.75e-05
41,0.5319605186581612,0.8275,0.6149996390938759,0.8,3.75e-05
42,0.5344576819241047,0.82875,0.6535353171825409,0.7725,3.75e-05
43,0.5457028127461672,0.8225,0.6145702862739563,0.8,1.875e-05
44,0.5344249164313077,0.826875,0.6225516560673714,0.78,1.875e-05
45,0.5276899730414152,0.83125,0.6319730284810067,0.7825,1.875e-05
46,0.5314538317918778,0.826875,0.6139645808935166,0.79,1.875e-05
47,0.5304137585312128,0.83375,0.624751578271389,0.7875,1.875e-05
48,0.5297677252441645,0.839375,0.6205142039060593,0.7975,1.875e-05
49,0.521407980248332,0.844375,0.6358637127280236,0.7875,9.375e-06
50,0.5227620582282543,0.836875,0.6191849398612976,0.8,9.375e-06
51,0.5218634504079819,0.844375,0.6122798517346382,0.79,9.375e-06
52,0.5275020042806864,0.8375,0.6517331731319428,0.7825,9.375e-06
53,0.5217204138636589,0.846875,0.6230423566699028,0.7925,9.375e-06
54,0.5229368714988232,0.836875,0.631090652346611,0.795,9.375e-06
55,0.5267585141956806,0.829375,0.6450149428844452,0.7875,4.6875e-06
56,0.5223732540011405,0.8325,0.6421573030948639,0.79,4.6875e-06
57,0.5159617494046688,0.848125,0.6128208231925965,0.785,4.6875e-06
58,0.5182412029057741,0.84375,0.6509267690777779,0.795,4.6875e-06
59,0.5177845768630505,0.841875,0.6338128438591957,0.79,4.6875e-06
